country,week,cumulative_cases,cumulative_deaths,population,std_cum_cases,std_cum_deaths,lethality,lethality_Q5
Colombia,47,2161462,56290,50882884.0,0.04247915664528764,0.001106265910556485,0.02604255823141929,L4
Colombia,48,2198549,57786,50882884.0,0.04320802649472463,0.0011356667597693557,0.026283698930521904,L4
Colombia,49,2229663,58974,50882884.0,0.04381950913002494,0.001159014492967812,0.02644973702303891,L4
Colombia,50,2255260,59866,50882884.0,0.04432256630736575,0.0011765449458407272,0.026545054672188574,L4
Colombia,51,2278861,60598,50882884.0,0.04478639614845731,0.0011909309228619982,0.026591354189658783,L4
Colombia,52,2305884,61243,50882884.0,0.0453174784668259,0.0012036070911389377,0.026559445314681917,L4
Colombia,53,2342278,62148,50882884.0,0.04603272880523046,0.001221393032674799,0.02653314422967726,L4
Colombia,54,2389779,63079,50882884.0,0.04696626472666133,0.001239689951536552,0.026395327768802053,L4
Colombia,55,2456409,64293,50882884.0,0.0482757423891303,0.0012635486620609004,0.026173572886274234,L4
Colombia,56,2552937,66156,50882884.0,0.05017280467042709,0.0013001621527584796,0.025913682946347678,L4
Colombia,57,2667136,68748,50882884.0,0.05241715465656389,0.0013511026615551115,0.025775963430436245,L4
Colombia,58,2787303,71799,50882884.0,0.054778793591966995,0.001411063885451147,0.025759309267776056,L4
Colombia,59,2905254,75164,50882884.0,0.05709688153682484,0.0014771961432060337,0.025871748218916486,L4
Colombia,60,3015301,78342,50882884.0,0.05925963237461147,0.0015396532948093115,0.025981485762117944,L4
Colombia,61,3118426,81300,50882884.0,0.061286345325866354,0.0015977867921165788,0.02607084471460923,L4
Colombia,62,3249433,85207,50882884.0,0.06386102250021834,0.0016745709618189095,0.026222113211751098,L4
Colombia,63,3406456,88774,50882884.0,0.06694699144804764,0.0017446731203364966,0.026060515679638897,L4
Colombia,64,3593016,92496,50882884.0,0.07061345029106447,0.001817821489835364,0.02574327528739087,L4
Colombia,65,3777600,96366,50882884.0,0.07424107485731352,0.0018938784994970018,0.02550984752223634,L4
Colombia,66,3968405,100582,50882884.0,0.07799096057526927,0.0019767354381878197,0.025345699342683017,L4
Colombia,67,4187194,105326,50882884.0,0.08229081511967758,0.0020699691471890626,0.025154315754178095,L4
Colombia,68,4375861,109466,50882884.0,0.08599868277906575,0.00215133245985035,0.025015876875430915,L4
Colombia,69,4530610,113335,50882884.0,0.08903996086385355,0.002227369816537915,0.02501539527789856,L4
Costa Rica,1,35,0,5094114.0,6.870674664917197e-06,0.0,0.0,L1
Costa Rica,2,134,2,5094114.0,2.6304868717111553e-05,3.9260998085241124e-07,0.014925373134328358,L2
Costa Rica,3,314,2,5094114.0,6.163976699382857e-05,3.9260998085241124e-07,0.006369426751592357,L2
Costa Rica,4,454,2,5094114.0,8.912246565349735e-05,3.9260998085241124e-07,0.004405286343612335,L1
Costa Rica,5,595,3,5094114.0,0.00011680146930359235,5.889149712786169e-07,0.005042016806722689,L2
Costa Rica,6,660,4,5094114.0,0.00012956129368129571,7.852199617048225e-07,0.006060606060606061,L2
Costa Rica,7,695,6,5094114.0,0.0001364319683462129,1.1778299425572337e-06,0.008633093525179856,L2
Costa Rica,8,739,6,5094114.0,0.00014506938792496594,1.1778299425572337e-06,0.008119079837618403,L2
Costa Rica,9,792,6,5094114.0,0.00015547355241755484,1.1778299425572337e-06,0.007575757575757576,L2
Costa Rica,10,863,10,5094114.0,0.00016941120673781546,1.963049904262056e-06,0.011587485515643106,L2
Costa Rica,11,930,10,5094114.0,0.00018256364109637123,1.963049904262056e-06,0.010752688172043012,L2
Costa Rica,12,1056,10,5094114.0,0.00020729806989007313,1.963049904262056e-06,0.00946969696969697,L2
Costa Rica,13,1318,10,5094114.0,0.000258729977381739,1.963049904262056e-06,0.007587253414264037,L2
Costa Rica,14,1715,12,5094114.0,0.0003366630585809426,2.3556598851144674e-06,0.006997084548104956,L2
Costa Rica,15,2213,12,5094114.0,0.00043442294381319303,2.3556598851144674e-06,0.005422503389064619,L2
Costa Rica,16,3130,15,5094114.0,0.0006144346200340235,2.9445748563930843e-06,0.004792332268370607,L2
Costa Rica,17,4996,19,5094114.0,0.0009807397321693232,3.7297948180979067e-06,0.0038030424339471577,L1
Costa Rica,18,7596,30,5094114.0,0.0014911327072774578,5.8891497127861685e-06,0.0039494470774091624,L1
Costa Rica,19,11114,62,5094114.0,0.0021817336635968493,1.2170909406424748e-05,0.005578549577109951,L2
Costa Rica,20,15229,104,5094114.0,0.002989528699200685,2.0415719004325384e-05,0.006829076104800052,L2
Costa Rica,21,18975,162,5094114.0,0.0037248871933372517,3.180140844904531e-05,0.008537549407114625,L2
Costa Rica,22,23286,235,5094114.0,0.004571158007064624,4.613167275015832e-05,0.010091900712874689,L2
Costa Rica,23,28465,294,5094114.0,0.005587821552481943,5.771366718530445e-05,0.010328473564025997,L2
Costa Rica,24,33820,355,5094114.0,0.006639034776214274,6.9688271601303e-05,0.010496747486694264,L2
Costa Rica,25,39699,418,5094114.0,0.007793111814929937,8.205548599815395e-05,0.010529232474369632,L2
Costa Rica,26,46920,478,5094114.0,0.009210630150797568,9.383378542372628e-05,0.010187553282182437,L2
Costa Rica,27,55454,590,5094114.0,0.010885896939094806,0.00011581994435146131,0.010639448912612256,L2
Costa Rica,28,63712,706,5094114.0,0.012506983550034411,0.00013859132324090117,0.011081115017579106,L2
Costa Rica,29,72049,828,5094114.0,0.014143578255217688,0.00016254053207289824,0.011492178933781176,L2
Costa Rica,30,79182,950,5094114.0,0.015543821751927813,0.00018648974090489535,0.011997676239549393,L2
Costa Rica,31,87439,1076,5094114.0,0.017164712057876994,0.00021122416969859725,0.012305721703130183,L2
Costa Rica,32,95514,1183,5094114.0,0.018749874855568602,0.00023222880367420126,0.012385618862156333,L2
Costa Rica,33,103088,1282,5094114.0,0.020236688853056684,0.0002516629977263956,0.012435977029334161,L2
Costa Rica,34,109971,1385,5094114.0,0.02158785610216026,0.0002718824117402948,0.01259422938774768,L2
Costa Rica,35,116363,1464,5094114.0,0.022842637600964565,0.000287390505983965,0.01258131880408721,L2
Costa Rica,36,123223,1546,5094114.0,0.024189289835288334,0.0003034875151989139,0.012546359040114264,L2
Costa Rica,37,129418,1608,5094114.0,0.025405399250978677,0.00031565842460533865,0.012424855893306958,L2
Costa Rica,38,137093,1690,5094114.0,0.026912040052499808,0.0003317554338202875,0.01232739818955016,L2
Costa Rica,39,143685,1773,5094114.0,0.028206082549389354,0.00034804874802566257,0.012339492640150329,L2
Costa Rica,40,153169,1936,5094114.0,0.030067839078591486,0.00038004646146513405,0.012639633346173181,L2
Costa Rica,41,159893,2037,5094114.0,0.0313877938342173,0.00039987326549818087,0.01273976972100092,L2
Costa Rica,42,165762,2144,5094114.0,0.032539907823028694,0.00042087789947378484,0.01293420687491705,L2
Costa Rica,43,172436,2229,5094114.0,0.033850047329133194,0.00043756382366001234,0.012926535062283978,L2
Costa Rica,44,180061,2353,5094114.0,0.03534687288113301,0.00046190564247286183,0.013067793692137664,L2
Costa Rica,45,186016,2458,5094114.0,0.036515869099121065,0.0004825176664676134,0.013213917082401513,L2
Costa Rica,46,190745,2558,5094114.0,0.03744419539884659,0.000502148165510234,0.013410574326981048,L2
Costa Rica,47,194569,2634,5094114.0,0.0381948656822364,0.0005170673447826256,0.013537613905606751,L2
Costa Rica,48,197435,2692,5094114.0,0.03875747578479791,0.0005284530342273455,0.013634867171474156,L2
Costa Rica,49,200024,2730,5094114.0,0.039265709405011354,0.0005359126238635414,0.013648362196536416,L2
Costa Rica,50,202674,2782,5094114.0,0.039785917629640795,0.000546120483365704,0.013726477002476884,L2
Costa Rica,51,205086,2812,5094114.0,0.0402594052665488,0.0005520096330784902,0.013711321104317213,L2
Costa Rica,52,207460,2841,5094114.0,0.04072543331382062,0.0005577024778008502,0.013694206112021594,L2
Costa Rica,53,210447,2886,5094114.0,0.04131179632022369,0.0005665362023700295,0.013713666623900554,L2
Costa Rica,54,211903,2896,5094114.0,0.04159761638628425,0.0005684992522742915,0.013666630486590562,L2
Costa Rica,55,215178,2931,5094114.0,0.042240515229930074,0.0005753699269392087,0.013621280985974402,L2
Costa Rica,56,216764,2957,5094114.0,0.04255185494474603,0.00058047385669029,0.01364156409735934,L2
Costa Rica,57,222544,3018,5094114.0,0.0436864977894095,0.0005924484611062885,0.013561363146164355,L2
Costa Rica,58,230837,3099,5094114.0,0.045314455075014026,0.0006083491653308112,0.013425057508111784,L2
Costa Rica,59,241240,3168,5094114.0,0.04735661589041784,0.0006218942096702193,0.01313215055546344,L2
Costa Rica,60,256676,3290,5094114.0,0.050386779722636756,0.0006458434185022165,0.012817715719428385,L2
Costa Rica,61,271478,3430,5094114.0,0.05329248619092545,0.0006733261171618853,0.012634541288796883,L2
Costa Rica,62,288626,3625,5094114.0,0.05665872416675402,0.0007116055902949953,0.012559506073603902,L2
Costa Rica,63,304529,3849,5094114.0,0.05978056242950197,0.0007555779081504654,0.012639190356255069,L2
Costa Rica,64,318986,4041,5094114.0,0.06261854367609362,0.0007932684663122969,0.012668267572871537,L2
Costa Rica,65,331920,4228,5094114.0,0.06515755242226617,0.0008299774995219973,0.012738009158833453,L2
Costa Rica,66,343604,4388,5094114.0,0.06745117993040596,0.0008613862979901903,0.012770514895053608,L2
Costa Rica,67,354095,4530,5094114.0,0.06951061558496728,0.0008892616066307114,0.01279317697228145,L2
Costa Rica,68,364304,4648,5094114.0,0.07151469323222841,0.0009124255955010037,0.012758575255830296,L2
Costa Rica,69,374324,4726,5094114.0,0.073481669236299,0.0009277373847542478,0.012625426101452219,L2
Costa Rica,70,383500,4812,5094114.0,0.07528296382844986,0.0009446196139309014,0.012547588005215124,L2
Cuba,1,139,2,11326616.0,1.2271979556824385e-05,1.765752454219336e-07,0.014388489208633094,L2
Cuba,2,320,7,11326616.0,2.825203926750938e-05,6.180133589767676e-07,0.021875,L3
Cuba,3,669,17,11326616.0,5.9064419593636795e-05,1.5008895860864357e-06,0.025411061285500747,L4
Cuba,4,1035,33,11326616.0,9.137768950585064e-05,2.9134915494619047e-06,0.03188405797101449,L4
Cuba,5,1369,53,11326616.0,0.00012086575549131355,4.67924400368124e-06,0.03871439006574142,L5
Cuba,6,1649,66,11326616.0,0.00014558628985038427,5.8269830989238095e-06,0.04002425712553062,L5
Cuba,7,1766,76,11326616.0,0.00015591594170756738,6.709859326033477e-06,0.04303510758776897,L5
Cuba,8,1872,78,11326616.0,0.00016527442971492985,6.886434571455411e-06,0.041666666666666664,L5
Cuba,9,1941,81,11326616.0,0.00017136627568198657,7.151297439588311e-06,0.04173106646058733,L5
Cuba,10,2045,82,11326616.0,0.00018054818844392712,7.239585062299278e-06,0.040097799511002445,L5
Cuba,11,2191,82,11326616.0,0.00019343818135972827,7.239585062299278e-06,0.037425832952989506,L4
Cuba,12,2248,83,11326616.0,0.00019847057585425338,7.3278726850102445e-06,0.03692170818505338,L4
Cuba,13,2312,84,11326616.0,0.00020412098370775524,7.416160307721212e-06,0.03633217993079585,L4
Cuba,14,2332,85,11326616.0,0.0002058867361619746,7.504447930432179e-06,0.036449399656946824,L4
Cuba,15,2372,85,11326616.0,0.00020941824107041326,7.504447930432179e-06,0.03583473861720068,L4
Cuba,16,2426,86,11326616.0,0.00021418577269680548,7.592735553143145e-06,0.03544929925803792,L4
Cuba,17,2446,86,11326616.0,0.0002159515251510248,7.592735553143145e-06,0.03515944399018806,L4
Cuba,18,2495,86,11326616.0,0.00022027761866386217,7.592735553143145e-06,0.034468937875751504,L4
